incident_id,date,reports,Alleged deployer of AI system,Alleged developer of AI system,Alleged harmed or nearly harmed parties,description,title
248,23/11/2018,"[1789,1790]","[""contra-costa-county-sheriff""]","[""vigilant-solutions""]","[""brian-hofer""]","A purportedly automated license plate reader allegedly flagged a rental car in California as stolen, although reports indicate it had already been recovered. Police reportedly conducted a high-risk stop and detained the occupants at gunpoint before confirming their innocence. The driver later alleged excessive force and database errors in a federal lawsuit.",Reported Automated License Plate Reader Alert on Previously Stolen Rental Car Leads to Alleged Wrongful Detainment in California
250,01/02/2016,[1793],"[""castricum-municipality""]","[""castricum-municipality""]","[""unnamed-property-owner""]","A home value generated by a black-box algorithm was reportedly defended by the Castricum court, which was criticized by a legal specialist for setting a dangerous precedent for accepting black-box algorithms as long as their results appear reasonable.",Dutch City Court Defended Home Value Generated by Black-Box Algorithm
255,31/05/2020,"[1805,1806,1807,1808,1809,1431,1811,1812,1813]","[""chicago-police-department""]","[""shotspotter""]","[""michael-williams""]","ShotSpotter audios were previously admitted to convict an innocent Black man in a murder case in Chicago, resulted in his nearly-one-year-long arrest before being dismissed by prosecutors as insufficient evidence.",Unreliable ShotSpotter Audio Previously Used to Convict Chicago Man in Murder Case
256,07/11/2021,[1814],"[""chicago-police-department""]","[""shotspotter""]","[""chicago-drivers""]","A car stop resulting in a DUI arrest of its driver was allegedly based solely on a ShotSpotter alert, the reliability of which came into question by public defenders, who subpoenaed the company to assess its gunshot alert system.",DUI Arrest Case Allegedly Based Only on ShotSpotter's Alert
257,04/05/2012,"[1815,1435,1821,2250]","[""kansas-city-police-department"",""cleveland-division-of-police"",""chicago-police-department"",""atlanta-police-department""]","[""shotspotter""]","[""neighborhoods-of-color"",""brown-communities"",""black-communities"",""adam-toledo""]","Police departments disproportionately placed ShotSpotter sensors in black and brown neighborhoods, which is denounced by communities for allegedly creating dangerous situations, such as one involving in Adam Toledo's death.",Police Reportedly Deployed ShotSpotter Sensors Disproportionately in Neighborhoods of Color
258,13/05/2022,"[1819,1820]","[""the-good-guys"",""kmart"",""bunnings""]","[""unknown""]","[""the-good-guys-customers"",""kmart-customers"",""bunnings-customers""]","Major Australian retailers reportedly analyzed in-store footage to capture facial features of their customers without consent, which was criticized by consumer groups as creepy and invasive.",Australian Retailers Reportedly Captured Face Prints of Their Customers without Consent
260,26/08/2014,"[1823,1831]","[""us-department-of-homeland-security"",""us-citizenship-and-immigration-services""]","[""us-citizenship-and-immigration-services""]","[""us-naturalized-citizens"",""us-immigrants"",""us-citizenship-applicants"",""us-immigration-applicants""]","US Citizenship and Immigration Services (USCIS)'s ATLAS software used in vetting immigration requests was condemned by advocacy groups as a threat to naturalized citizens for its secretive algorithmic decision-making, reliance on poor quality data and unknown sources, and alleged discrimination of immigrants using biometric and sensitive information.",US DHS's Opaque Vetting Software Allegedly Relied on Poor-Quality Data and Discriminated against Immigrants
261,15/11/2017,"[1824,1825,1826,1827,1828,1829,1830,1832]","[""society-for-the-prevention-of-cruelty-to-animals""]","[""knightscope""]","[""san-francisco-homeless-people""]","Society for the Prevention of Cruelty to Animals (SPCA) deployed a Knightscope robot to autonomously patrol the area outside its office and ward off homeless people, which was criticized by residents as a tool of intimidation and ordered by the city of San Francisco to stop its use on a public right-of-way.","Robot Deployed by Animal Shelter to Patrol Sidewalks outside Its Office, Warding off Homeless People in San Francisco"
265,01/04/2021,"[1840,1841]","[""uber-eats""]","[""uber-eats""]","[""pa-edrissa-manjang"",""uber-eats-black-delivery-drivers""]","A lawsuit by a former Uber Eats delivery driver alleged the company to have wrongfully dismissed him due to frequent false mismatches of his verification selfies, and discriminated against him via excessive verification checks.",Black Uber Eats Driver Allegedly Subjected to Excessive Photo Checks and Dismissed via FRT Results
272,08/10/2019,"[1853,1854,1855]","[""grab""]","[""grab""]","[""non-tpi-registered-grab-drivers"",""grab-drivers-in-indonesia"",""grab-drivers""]","Grab Indonesia was fined by the Indonesian Competition Commission (KPPU) for unfairly favoring drivers who rented cars via the Grab-affiliated company Teknologi Pengangkutan Indonesia (TPI), including offering more rides via their matchmaking algorithm.","Grab Tweaked Matchmaking Algorithm, Providing Preferential Treatment to Drivers Registered with Affiliated Car Rental Service"
274,01/07/2003,"[1857,1859]","[""virginia-courts""]","[""virginia-department-of-criminal-justice-services""]","[""virginia-convicted-felons"",""virginia-black-offenders"",""virginia-young-offenders""]","Virginia courts' use of algorithmic predictions of future offending risks were found by researchers failing to reduce incarceration rates, showed racial and age disparities in risk scores and its application, and neither exacerbated or ameliorated historical racial differences in sentencing.",Virginia Courts' Algorithmic Recidivism Risk Assessment Failed to Lower Incarceration Rates
276,01/01/2022,[1864],"[""bucheon-city-government""]","[""unknown""]","[""bucheon-citizens""]","Bucheon government's use of facial recognition in analyzing CCTV footage, despite gaining wide public support, was scrutinized by privacy advocates and some lawmakers for collecting data without consent, and retaining and misusing data beyond pandemic needs.","Local South Korean Government's Use of CCTV Footage Analysis via Facial Recognition to Track COVID Cases Raised Concerns about Privacy, Retention, and Potential Misuse"
287,27/10/2020,[2471],"[""none""]","[""openai"",""nabla""]","[""nabla-customers""]","The French digital care company, Nabla, in researching GPT-3's capabilities for medical documentation, diagnosis support, and treatment recommendation, found its inconsistency and lack of scientific and medical expertise unviable and risky in healthcare applications. This incident has been downgraded to an issue as it does not meet current ingestion criteria.",OpenAI's GPT-3 Reported as Unviable in Medical Tasks by Healthcare Firm
288,30/01/2019,"[1895,1896,2025,2026]","[""woodbridge-police-department""]","[""unknown""]","[""nijeer-parks""]","Woodbridge Police Department falsely arrested an innocent Black man following a misidentification by their facial recognition software, who was jailed for more than a week and paid thousands of dollar for his defense.",New Jersey Police Wrongful Arrested Innocent Black Man via FRT
290,03/06/2022,"[1900,2413,2414]","[""toronto-city-government""]","[""toronto-public-health""]","[""sunnyside-beachgoers"",""marie-curtis-beachgoers"",""toronto-citizens""]","Toronto's use of AI predictive modeling (AIPM) which had replaced existing methodology as the only determiner of beach water quality raised concerns about its accuracy, after allegedly conflicting results were found by a local water advocacy group using traditional means.",False Negatives for Water Quality-Associated Beach Closures
295,08/11/2018,"[1915,1916,1917,2102,2103]","[""new-york-police-department""]","[""unknown""]","[""ousmane-bah"",""nyc-black-people"",""nyc-black-young-people""]","New York Police Department (NYPD)'s facial recognition system falsely connected a Black teenager to a series of thefts at Apple stores, which resulted in his wrongful attempted arrest.",Wrongful Attempted Arrest for Apple Store Thefts Due to NYPD's Facial Misidentification
301,15/02/2022,[1938],"[""broward-college""]","[""honorlock""]","[""unnamed-florida-teenager""]",Broward College's use of remote proctoring system and reliance on its flagging algorithm allegedly led to a wrongful accusation of academic dishonesty in a biology exam of a Florida teenager.,Teenager at Broward College Allegedly Wrongfully Accused of Cheating via Remote Proctoring
309,26/08/2017,"[1954,1956,1960,2030]","[""metropolitan-police-service""]","[""unknown""]","[""notting-hill-carnival-goers""]",The facial recognition trial by London's Metropolitan Police Service at the Notting Hill Carnival reportedly performed poorly with a high rate of false positives.,Facial Recognition Trial Performed Poorly at Notting Hill Carnival
310,03/06/2017,"[1955,1957,1958,1959,2126,2127,2128,2269]","[""south-wales-police""]","[""nec""]","[""finals-attendees"",""falsely-accused-finals-attendees""]",South Wales Police (SWP)'s automated facial recognition (AFR) at the Champion's League Final football game in Cardiff wrongly identified innocent people as potential matches at an extremely high false positive rate of more than 90%.,High False Positive Rate by SWP's Facial Recognition Use at Champion's League Final
312,15/08/2021,"[1963,1964,1965,1966]","[""sanas""]","[""sanas""]","[""call-center-agents-having-non-midwestern-american-accent"",""people-having-non-midwestern-american-accent""]","A startup's use of AI voice technology to alter or remove accents for call center agents was scrutinized by critics as reaffirming bias, despite the company's claim.",Startup's Accent Translation AI Denounced as Reinforcing Racial Bias
335,01/03/2015,"[2047,2090,2091,2092,2122,2123,2124,2125]","[""uk-visas-and-immigration""]","[""uk-visas-and-immigration"",""uk-home-office""]","[""uk-visa-applicants-from-some-countries""]","UK Home Office's algorithm to assess visa application risks explicitly considered nationality, allegedly caused candidates to face more scrutiny and discrimination.",UK Visa Streamline Algorithm Allegedly Discriminated Based on Nationality
336,01/03/2015,"[2048,2119,2120,2121]","[""uk-home-office""]","[""uk-home-office""]","[""uk-immigrant-newlyweds""]","UK Home Office's opaque algorithm to detect sham marriages flagged some nationalities for investigation more than others, raising fears surrounding discrimination based on nationality and age.",UK Home Office's Sham Marriage Detection Algorithm Reportedly Flagged Certain Nationalities Disproportionately
344,01/07/2021,[2057],"[""myinterview"",""curious-thing""]","[""myinterview"",""curious-thing""]","[""job-candidates-using-myinterview"",""job-candidates-using-curious-thing"",""employers-using-myinterview"",""employers-using-curious-thing""]","Two AI interview softwares provided positive but invalid results such as ""competent"" English proficiency and high match percentage for interview responses given in German by reporters.",Hiring Algorithms Provided Invalid Positive Results for Interview Responses in German
345,13/04/2021,[2058],"[""insurance-companies""]","[""ccc-information-services"",""tractable""]","[""vehicle-repair-shops"",""vehicle-owners""]","Auto-insurance companies' photo-based estimation of repair price was alleged by repair shop owners and industry groups as providing inaccurate estimates, causing damaged cars to stay in the shop longer.",Auto-Insurance Photo-Based Estimation Allegedly Gave Inaccurate Repair Prices Frequently
346,15/06/2016,"[2059,2062,2108,2109,2110]","[""henn-na-hotel""]","[""unknown""]","[""henn-na-hotel-guests"",""henn-na-hotal-staff""]",A number of robots employed by a hotel in Japan were reported by guests in a series of complaints for failing to handle tasks such as answering scheduling questions or making passport copies without human intervention.,Robots in Japanese Hotel Annoyed Guests and Failed to Handle Simple Tasks
349,22/03/2022,"[2065,2095,5464]","[""charlotte-mecklenburg-school-district""]","[""evolv-technology""]","[""teachers-at-charlotte-mecklenburg-schools"",""students-at-charlotte-mecklenburg-schools"",""security-officers-at-charlotte-mecklenburg-schools"",""parents-of-students-at-charlotte-mecklenburg-schools"",""school-administrators-at-charlotte-mecklenburg-schools""]","Evolv's AI-powered weapons scanners were advertised as superior to metal detectors but reportedly failed to detect actual weapons while generating excessive false positives. The FTC alleged that misleading claims about the system's accuracy and speed contributed to schools relying on unreliable detection, with at least one incident in October 2022 involving a missed knife that resulted in a student being stabbed.","Evolv AI Weapons Detection System Allegedly Misrepresents Accuracy, Leading to School Security Gaps"
355,07/07/2018,"[2081,2082,2083,2903,2972]","[""uber""]","[""uber""]","[""uber-drivers""]","Uber was alleged in a lawsuit to have wrongfully accused its drivers in the UK and Portugal of fraudulent activity through automated systems, which resulted in their dismissal without a right to appeal.",Uber Allegedly Wrongfully Accused Drivers of Fraud via Automated Systems
364,15/04/2020,[2131],"[""walmart""]","[""everseen""]","[""walmart-employees""]",Walmart's theft-deterring bagging-detection system allegedly exposed workers to health risks during the coronavirus pandemic when its false positives prompted workers to unnecessarily step in to resolve the issue.,Walmart's Bagging-Detection False Positives Exposed Workers to Health Risk
373,01/10/2013,"[2169,2187,2188,2189,2190,2191,2213,2214,2215,2216,2238,2798,4849,4850]","[""michigan-unemployment-insurance-agency""]","[""fast-enterprises"",""csg-government-solutions""]","[""unemployed-michigan-residents-falsely-accused-of-fraud"",""michigan-residents-who-faced-bankruptcy-or-foreclosure-due-to-midas""]","Michigan's MiDAS system falsely accused over 34,000 people of unemployment fraud from 2013 to 2015, which reportedly caused financial ruin for many. The automated system was designed to cut costs, but it adjudicated fraud cases without human oversight. That led to an 85% error rate. Victims faced wage garnishments, some lost homes, and some faced bankruptcy. Despite early warnings, Michigan's UIA defended MiDAS until lawsuits and federal pressure forced reforms. Legislators have been seeking compensation for those wrongfully accused.",Michigan's Unemployment Benefits Algorithm MiDAS Issued False Fraud Claims to Thousands of People
374,13/08/2020,"[2170,2206,2207,2208,2209,2210,2211,2212]","[""uk-office-of-qualifications-and-examinations-regulation""]","[""uk-office-of-qualifications-and-examinations-regulation""]","[""a-level-pupils"",""gcse-pupils"",""pupils-in-state-schools"",""underprivileged-pupils""]","UK Office of Qualifications and Examinations Regulation (Ofqual)'s grade-standardization algorithm providing predicted grades for A level and GCSE qualifications in the UK, Wales, Northern Ireland, and Scotland was reportedly giving grades lower than teachers' assessments, and disproportionately for state schools.",UK Ofqual's Algorithm Disproportionately Provided Lower Grades Than Teachers' Assessments
375,29/09/2019,"[2171,2192,2193]","[""krungthai-bank""]","[""krungthai-bank""]","[""thai-citizens"",""elder-thai-citizens""]","A Thai wallet app failed to recognize people's faces, resulting in citizens and disproportionately elders unable to sign up for Thai government's cash handout and co-pay programs or having to wait in long queues at local ATMs for authentication.",Thai Wallet App's Facial Recognition Errors Created Registration Issues for Government Programs
376,01/09/2016,"[2172,2185,2186,2261,2281,4445,4446,4447,4448,4449,4471,4479,4480,4481]","[""realpage""]","[""thoma-bravo"",""realpage"",""jeffrey-roper""]","[""renters""]","RealPage's YieldStar pricing algorithm is at the center of allegations that it enabled landlords to coordinate rent increases by sharing nonpublic pricing and occupancy data, raising rents artificially and reducing competition. On January 7, 2025, the U.S. Department of Justice filed an antitrust lawsuit against six major landlords, alleging that they used the algorithm and other direct communication methods to stifle competition, harming renters nationwide.",RealPage Algorithm Allegedly Inflates Rents and Reduces Competition in Housing Market
384,03/10/2022,"[2221,2222]","[""glovo""]","[""glovo""]","[""sebastian-galassi"",""sebastian-galassi's-family""]","Delivery company Glovo's automated system sent an email terminating an employee for ""non-compliance terms and conditions"" after the employee was killed in a car accident while making a delivery on Glovo's behalf.",Glovo Driver in Italy Fired via Automated Email after Being Killed in Accident
385,04/10/2022,"[2224,2225,2231,2232,2233,2234]","[""edmonton-police-service""]","[""parabon-nanolabs""]","[""black-residents-in-edmonton""]","The Edmonton Police Service (EPS) in Canada released a facial image of a Black male suspect generated by an algorithm using DNA phenotyping, which was denounced by the local community as racial profiling.",Canadian Police's Release of Suspect's AI-Generated Facial Photo Reportedly Reinforced Racial Profiling
386,03/07/2019,"[2227,2228,2252]","[""amazon""]","[""amazon""]","[""amazon-warehouse-workers""]","Amazon's warehouse worker '“time off task"" (TOT) tracking system was used to discipline and dismiss workers, falsely assuming workers to have wasted time and failing to account for breaks or equipment issues.","Amazon's ""Time Off Task"" System Made False Assumptions about Workers' Time Management"
387,22/12/2014,[2229],"[""oracle""]","[""oracle""]","[""internet-users""]",Oracle's automated system involving algorithmic data processing was alleged in a lawsuit to have been unlawfully collecting personal data from millions of people and violating their privacy rights.,Oracle's Algorithmic Data Processing System Alleged as Unlawful and Violating Privacy Rights
388,01/12/2018,[2235],"[""the-government-in-bahia"",""bahia's-secretary-of-public-security""]","[""huawei""]","[""black-people-in-brazil"",""black-people-in-bahia""]",Facial recognition deployed in a pilot project by the local government of Bahia despite having minimal hit rate reportedly targeted Black and poor people disproportionately.,Facial Recognition Pilot in Bahia Reportedly Targeted Black and Poor People
391,26/07/2022,"[2244,2246]","[""southern-co-op""]","[""hikvision""]","[""souther-co-op-customers""]","Southern Co-op's use of facial recognition reportedly to curb violent crime in UK supermarkets was alleged by civil society and privacy groups as ""unlawful"" and ""complete"" invasion of privacy.",Facial Recognition Trial by UK Southern Co-op Alleged as Unlawful
395,02/03/2021,"[2254,2255,2256,2257]","[""amazon""]","[""netradyne""]","[""amazon-delivery-drivers""]","Amazon delivery drivers were forced to consent to algorithmic collection and processing of their location, movement, and biometric data through AI-powered cameras, or be dismissed.",Amazon Forced Deployment of AI-Powered Cameras on Delivery Drivers
396,04/07/2018,[2263],"[""uber""]","[""uber""]","[""transgender-uber-drivers""]",Transgender Uber drivers reported being automatically deactivated from the app due to Real-Time ID Check failing to account for difference in appearance of people undergoing gender transitions.,Transgender Uber Drivers Mistakenly Kicked off App for Appearance Change during Gender Transitions
404,25/06/2019,"[2284,2286]","[""rock-hill-schools"",""pinecrest-academy-horizon""]","[""sound-intelligence""]","[""students"",""rock-hill-school-students"",""pinecrest-academy-horizon-students""]","Sound Intelligence's ""aggression detection"" algorithm deployed by schools reportedly contained high rates of false positive, misclassifying laughing, coughing, cheering, and loud discussions.",Sound Intelligence's Aggression Detector Misidentified Innocuous Sounds
405,28/11/2018,"[2285,2287]","[""schufa-holding-ag""]","[""schufa-holding-ag""]","[""young-men-having-credit-scores"",""people-scored-on-old-scoring-versions"",""people-changing-addresses-frequently""]","Creditworthiness Schufa scores in Germany reportedly privileged older and female consumers, and people who changed addresses less frequently, and were unreliable depending on scoring version.",Schufa Credit Scoring in Germany Reported for Unreliable and Imbalanced Scores
407,03/02/2016,[2289],"[""uber""]","[""uber""]","[""poor-neighborhoods"",""neighborhoods-of-color""]",Uber's surge-pricing algorithm which adjusts prices to influence car availability inadvertently caused better service offering such as shorter wait times for majority white neighborhoods.,Uber's Surge Pricing Reportedly Offered Disproportionate Service Quality along Racial Lines
410,09/11/2022,[2312],"[""kfc""]","[""kfc""]","[""jewish-people""]",KFC cited an error in an automated holiday detection system which identified the anniversary of Kristallnacht and prompted an insensitive push notification promoting its chicken.,KFC Sent Insensitive Kristallnacht Promotion via Holiday Detection System
418,13/03/2017,"[2324,2391,2392]","[""uber""]","[""uber"",""azure-cognitive-services""]","[""uber-drivers-in-india""]",Uber drivers in India reported being locked out of their accounts allegedly due to Real-Time ID Check's facial recognition failing to recognize appearance changes or faces in low lighting conditions.,Uber Locked Indian Drivers out of Accounts Allegedly Due to Facial Recognition Fails
425,12/06/2021,"[2333,2385]","[""state-farm""]","[""state-farm""]","[""black-state-farm-customers""]",State Farm's automated claims processing method was alleged in a class action lawsuit to have disproportionately against Black policyholders when paying out insurance claims.,State Farm Allegedly Discriminated against Black Customers in Claim Payout
429,01/04/2016,"[2343,1816,2377,2378]","[""rochester-police-department""]","[""shotspotter""]","[""silvon-simmons""]","ShotSpotter's ""unreliable"" audio was used as scientific evidence to accuse and convict a Black man of attempting to shoot Rochester's city police, whose conviction was later reversed by a county judge.",Unreliable ShotSpotter Audio Convicted Black Rochester Man of Shooting Police
430,19/12/2022,"[2346,2355,2359,2360,2361,2362,2363,2364,2365,2366,2367,2368,2504,2556,2557,2589,2600,2665,2728,2775,2797]","[""madison-square-garden-entertainment""]","[""unknown""]","[""kelly-conlon"",""alexis-majano""]",Lawyers were barred from entry to Madison Square Garden after a facial recognition system matched them as employed by a law firm currently engaged in litigation with the venue.,Lawyers Denied Entry to Performance Venue by Facial Recognition
432,21/12/2022,[2357],"[""southwest-airlines""]","[""general-electric""]","[""airline-passengers""]",Southwest Airlines left passengers stranded for days throughout the flight network when Southwest crew scheduling software repeatedly failed to recover from weather-induced flight cancellations.,Southwest Airlines Crew Scheduling Solver Degenerates Flight Network
433,01/08/2012,"[2415,2416,1013,1348,1011,1018,1012,2421,2422]","[""chicago-police-department""]","[""chicago-police-department""]","[""low-income-communities"",""communities-of-color"",""black-chicago-residents""]","Chicago Police Department (CPD)'s Strategic Subject List as output of an algorithm purportedly to identify victims or perpetrators of violence was reportedly ineffective, easily abused, and biased against low-income communities of color.",Chicago Police's Strategic Subject List Reportedly Biased Along Racial Lines
439,31/07/2019,"[2448,2449,2450]","[""detroit-police-department""]","[""dataworks-plus""]","[""michael-oliver"",""black-people-in-detroit""]",A Black man was wrongfully detained by the Detroit Police Department as a result of a false facial recognition (FRT) result.,Detroit Police Wrongfully Arrested Black Man Due To Faulty Facial Recognition
440,25/11/2022,"[2452,2454,2498,2544,2731,2732]","[""baton-rouge-police-department""]","[""morphotrak"",""clearview-ai""]","[""black-people-in-louisiana"",""randall-reid""]",Louisiana police reportedly used a false facial recognition match and secured an arrest warrant for a Black man for thefts he did not commit.,Louisiana Police Wrongfully Arrested Black Man Using False Face Match
441,01/06/2019,"[2464,2465,2466,2467,2468]","[""korean-ministry-of-justice"",""korean-ministry-of-science-and-information-and-communication-technology""]","[""unnamed-korean-companies""]","[""travelers-in-korean-airports""]",Korean government's development of immigration screening system involving real-time facial recognition used airport travelers' data which was supplied by the Ministry of Justice without consent.,Korea Developed ID Screening System Using Airport Travelers' Data without Consent
446,01/01/2023,"[2505,2512,2542,2677,2830]","[""durham-police-department""]","[""shotspotter""]","[""mass-shooting-victims"",""durham-residents"",""durham-police-department""]","ShotSpotter did not detect gunshots and alert Durham police of a drive-by shooting in Durham, North Carolina which left five people in hospital on New Year's Day.",ShotSpotter Failed to Alert Authorities of Mass Shooting in North Carolina
452,11/01/2023,"[2518,2545]","[""openai"",""immunefi-users""]","[""openai""]","[""immunefi""]","ChatGPT-generated responses submitted to smart contract bug bounty platform Immunefi reportedly lacked details to help diagnose technical issues, which reportedly wasted the platform's time, prompting bans to submitters.","ChatGPT-Written Bug Reports Deemed ""Nonsense"" by White Hat Platform, Prompted Bans"
455,11/11/2022,"[2524,2541,2560,2603,2592,2597,2598]","[""cnet""]","[""unknown""]","[""cnet-readers""]","AI-written articles published by CNET reportedly contained factual errors which bypassed human editorial review, prompting the company to issue corrections and updates.",CNET's Published AI-Written Articles Ran into Quality and Accuracy Issues
457,11/11/2022,"[2543,2551,2552,2592,2597,2598]","[""cnet""]","[""unknown""]","[""plagiarized-entities"",""cnet-readers""]","CNET's use of generative AI to write articles allegedly ran into plagiarism issues, reproducing verbatim phrases from other published sources or making minor changes to existing texts such as altering capitalization, swapping out words for synonyms, and changing minor syntax.",Article-Writing AI by CNET Allegedly Committed Plagiarism
461,18/07/2008,"[2564,2565,2566,2567]","[""internal-revenue-service""]","[""internal-revenue-service""]","[""black-taxpayers""]","The IRS was auditing Black taxpayers more frequently than other groups allegedly due to the design of their algorithms, focusing on easier-to-conduct audits which inadvertently correlated with the group's pattern of tax filing errors.",IRS Audited Black Taxpayers More Frequently Reportedly Due to Algorithm
467,07/02/2023,"[2609,2611,2612,2613,2614,2615,2616,2617,2620,2622,2645,2646,2647,2963]","[""google""]","[""google""]","[""google"",""google-shareholders""]","Google's conversational AI ""Bard"" was shown in the company's promotional video providing false information about which satellite first took pictures of a planet outside the Earth's solar system, reportedly causing shares to temporarily plummet.",Google's Bard Shared Factually Inaccurate Info in Promo Video
470,08/02/2023,"[2641,2799]","[""microsoft""]","[""openai"",""microsoft""]","[""openai"",""microsoft""]","Reporters from TechCrunch issued a query to Microsoft Bing's ChatGPT feature, which cited an earlier example of ChatGPT disinformation discussed in a news article to substantiate the disinformation.",Bing Chat Response Cited ChatGPT Disinformation Example
472,08/10/2016,[2655],"[""new-york-police-department""]","[""unknown""]","[""racial-minorities""]",New York Police Department's use of facial recognition deployment of surveillance cameras were shown using crowdsourced volunteer data reinforcing discriminatory policing against minority communities.,NYPD's Deployment of Facial Recognition Cameras Reportedly Reinforced Biased Policing
475,02/06/2021,"[2671,2672,2834,2835,4059,6109]","[""mcdonald's""]","[""ibm""]","[""mcdonald's-customers""]","Between 2021 and mid-2024, McDonald's reportedly piloted an AI-enabled voice ordering system that was developed with IBM and based on its 2019 acquisition of Apprente. It was reportedly deployed at at over 100 U.S. drive-thrus. Social media posts alleged frequent misorders, such as adding unwanted items, mixing adjacent lane orders, and ignoring corrections. In June 2024, McDonald's confirmed it ended the IBM pilot, citing plans to explore alternative voice-AI vendors.",McDonald's Reportedly Ends IBM Partnership After AI Drive-Thru Ordering Errors at U.S. Locations
482,16/02/2023,"[2706,2707,2708,2709,2710,2711,2712,2713,2714,2715,2716,2717,2718,2719,2720,2721,2722,2735,2736,2737]","[""vanderbilt-university""]","[""openai""]","[""vanderbilt-university-students"",""vanderbilt-university""]","Vanderbilt University's Office of Equity, Diversity and Inclusion used ChatGPT to write an email addressing student body about the 2023 Michigan State University shooting, which was condemned as ""impersonal"" and ""lacking empathy"".",ChatGPT-Assisted University Email Addressing Mass Shooting Denounced by Students
483,02/02/2023,[2727],"[""telangana-police"",""medak-police""]","[""unknown""]","[""mohammed-khadeer""]","A resident in Medak, India died allegedly due to custodial torture by the local police, who misidentified him as a suspect in a theft case using facial recognition.",Indian Police Allegedly Tortured and Killed Innocent Man Following Facial Misidentification
484,18/01/2023,"[2729,2730,2803,2817]","[""us-customs-and-border-protection""]","[""us-customs-and-border-protection""]","[""haitian-asylum-seekers"",""african-asylum-seekers"",""black-asylum-seekers""]","CBP One's facial recognition feature was reportedly disproportionately failing to detect faces of Black asylum seekers from Haiti and African countries, effectively blocking their asylum applications.",US CBP App's Failure to Detect Black Faces Reportedly Blocked Asylum Applications
489,03/06/2019,[2777],"[""workday""]","[""workday""]","[""derek-mobley"",""applicants-with-disabilities"",""applicants-over-40"",""african-american-applicants""]","Workday's algorithmic screening systems were alleged in a lawsuit allowing employers to discriminate against African-Americans, people over 40, and people with disabilities.",Workday's AI Tools Allegedly Enabled Employers to Discriminate against Applicants of Protected Groups
490,20/02/2023,"[2778,2836,2837]","[""clarkesworld-story-submitters""]","[""openai""]","[""clarkesworld""]","Sci-fi magazine Clarkesworld temporarily stopped accepting submissions after receiving an overwhelming increase in LLM-generated submissions, citing issues around spam, plagiarism, detection tool unreliability, and authentication.",Clarkesworld Magazine Closed Down Submissions Due to Massive Increase in AI-Generated Stories
501,03/06/2019,[2842],"[""security-health-plan"",""navihealth""]","[""navihealth""]","[""frances-walter"",""elderly-patients""]","An elderly Wisconsin woman was algorithmically determined to have a rapid recovery, an output which the insurer based on to cut off payment for her treatment despite medical notes showing her still experiencing debilitating pain.",Length of Stay False Diagnosis Cut Off Insurer's Payment for Treatment of Elderly Woman
502,10/04/2017,"[2843,2844,2859]","[""allegheny-county""]","[""rhema-vaithianathan"",""emily-putnam-hornstein"",""centre-for-social-data-analytics""]","[""black-families-in-allegheny"",""households-with-disabled-people-in-allegheny"",""hackneys-family""]",Data analysis by the American Civil Liberty Union (ACLU) on Allegheny County's decision-support Family Screening Tool to predict child abuse or neglect risk found the tool resulting in higher screen-in rates for Black families and higher risk scores for households with disabled residents.,Pennsylvania County's Family Screening Tool Allegedly Exhibited Discriminatory Effects
506,29/03/2023,"[2869,2893,4330]","[""openai""]","[""openai""]","[""jonathan-turley""]",A lawyer in California asked the AI chatbot ChatGPT to generate a list of legal scholars who had sexually harassed someone. The chatbot produced a false story of Professor Jonathan Turley sexually harassing a student on a class trip.,ChatGPT Allegedly Produced False Accusation of Sexual Harassment
514,20/01/2023,[2901],"[""turnitin""]","[""turnitin""]","[""lucy-goetz"",""high-school-students""]","Turnitin's tool to detect writing generated by ChatGPT was reported for incorrectly flagging high school students' original essays as AI-generated, accusations of which are argued as reinforcement of bias from teachers due to the inability to compare against source documents.",Turnitin's ChatGPT-Detection Tool Falsely Flagged Student Essays as AI-Generated
515,25/11/2022,"[2905,2916,5342]","[""jefferson-parish-sheriff's-office""]","[""clearview-ai""]","[""randal-quran-reid""]","In November 2022, Randal ""Quran"" Reid was arrested in Georgia based on warrants from Louisiana that reportedly stemmed from a purportedly faulty facial recognition match using Clearview AI. Despite reportedly having never visited Louisiana, Reid was jailed for six days before authorities withdrew the warrants. No corroborating evidence had been gathered, and the technology's use was omitted from legal documents. In May 2025, Jefferson Parish settled with Reid for $200,000 in a federal civil rights lawsuit.",Facial Recognition Error Reportedly Leads to Wrongful Arrest of Georgia Man and $200K Settlement in Louisiana
517,15/02/2018,"[2909,2912]","[""new-york-police-department""]","[""unknown""]","[""unknown""]","A man was arrested for theft of socks from a TJ Maxx store under the guise of an eyewitness ID case, after the local police asked the store's security guard to confirm the facial recognition match produced using surveillance footage, despite him having an alibi at the time of the theft.",Man Arrested For Sock Theft by False Facial Match Despite Alibi
518,28/04/2017,[2911],"[""new-york-police-department"",""facial-identification-section""]","[""unknown""]","[""unknown""]","When the facial recognition search for a CVS theft suspect's face returned no useful matches due to the surveillance footage being obscured and highly pixelated, a New York City police detective continued the face search using Woody Harrelson's face allegedly due to his resemblance to the suspect's face, eventually leading to the arrest of an unknown victim.",New York Detective Misused Woody Harrelson's Face to Perform Face Recognition Search
